310-to-yuma-2007,2007,western
10-things-i-hate-about-you,1999,drama comedy romance
12-angry-men,1957,drama
twelve-monkeys,1995,thriller science-fiction mystery
12-years-a-slave,2013,history drama
13-going-on-30,2004,fantasy comedy romance
27-dresses,2008,comedy romance
50-first-dates,2004,romance comedy
big-daddy,1999,drama comedy
300,2006,action adventure war
500-days-of-summer,2009,romance comedy drama
2001-a-space-odyssey,1968,adventure science-fiction mystery
20000-leagues-under-the-sea-1954,1954,science-fiction adventure
abbott-and-costello-meet-dr-jekyll-and-mr-hyde,1953,comedy science-fiction horror
abbott-and-costello-meet-frankenstein,1948,horror comedy
abbott-and-costello-meet-the-invisible-man,1951,comedy horror
abbott-and-costello-meet-the-mummy,1955,comedy horror
across-the-universe,2007,romance fantasy drama
adaptation,2002,drama crime comedy
the-adventures-of-baron-munchausen,1988,family action adventure fantasy comedy
airplane,1980,comedy
jamaica-inn,1939,adventure crime
sabotage,1936,drama thriller
the-39-steps,1935,mystery action thriller
easy-virtue,1928,drama thriller
alien,1979,horror science-fiction
all-about-eve,1950,drama
all-that-jazz,1979,drama
amadeus,1984,music history drama
american-beauty,1999,drama
american-graffiti,1973,drama comedy
an-american-in-paris,1951,music drama comedy romance
american-psycho,2000,drama horror thriller crime
amour,2012,drama romance
analyze-this,1999,comedy crime
analyze-that,2002,crime comedy
anchorman-the-legend-of-ron-burgundy,2004,comedy
anchorman-2-the-legend-continues,2013,comedy
angels-demons,2009,mystery thriller
anger-management,2003,comedy
angry-video-game-nerd-the-movie,2014,adventure comedy science-fiction
animal-house,1978,comedy
annie-hall,1977,drama comedy romance
annihilation,2018,horror science-fiction
antonio-gaudi,1984,documentary
anywhere-but-here,1999,comedy drama romance
apocalypse-now,1979,war drama
apollo-13,1995,history drama
argo,2012,drama thriller
armageddon,1998,thriller adventure action science-fiction
arrival-2016,2016,mystery drama science-fiction
as-good-as-it-gets,1997,romance comedy
the-assassination-of-jesse-james-by-the-coward-robert-ford,2007,action western drama
atonement,2007,romance drama
austin-powers-in-goldmember,2002,science-fiction crime comedy
austin-powers-international-man-of-mystery,1997,science-fiction crime comedy
austin-powers-the-spy-who-shagged-me,1999,adventure comedy crime science-fiction
avatar,2009,fantasy action adventure science-fiction
the-aviator,2004,drama
away-we-go,2009,romance comedy drama
babe,1995,comedy family drama fantasy
balto,1995,family animation adventure
bananas,1971,comedy
the-banger-sisters,2002,comedy drama
barefoot-in-the-park,1967,comedy romance
beasts-of-the-southern-wild,2012,drama
the-beautician-and-the-beast,1997,comedy romance
a-beautiful-mind,2001,romance drama
becoming-jane,2007,romance drama
bedazzled-2000,2000,comedy romance fantasy
before-sunrise,1995,romance drama
before-sunset,2004,drama romance
begin-again,2013,music drama comedy romance
being-john-malkovich,1999,drama comedy fantasy
being-there,1979,drama comedy
bend-it-like-beckham,2002,romance comedy drama
best-in-show,2000,comedy
bicentennial-man,1999,science-fiction comedy drama
big,1988,drama romance family fantasy comedy
the-big-lebowski,1998,crime comedy
the-big-sleep,1946,crime mystery thriller
the-big-year,2011,comedy
the-birdcage,1996,comedy
birdman-or-the-unexpected-virtue-of-ignorance,2014,comedy drama
the-birds,1963,horror
black-beauty-1994,1994,family action adventure drama
the-black-stallion,1979,adventure family
black-swan,2010,drama thriller horror
blades-of-glory,2007,comedy
the-bqe,2007,music
the-blind-side,2009,drama
blood-diamond,2006,thriller action drama
blue-crush,2002,adventure romance drama
honey,2003,music family romance
josie-and-the-pussycats,2001,comedy music
the-blues-brothers,1980,comedy action crime music
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,2006,comedy
bottle-rocket-1996,1996,comedy crime drama
bowling-for-columbine,2002,documentary
the-brave-little-toaster,1987,adventure music comedy fantasy family animation
braveheart,1995,drama action war history
brazil,1985,comedy science-fiction
breakfast-at-tiffanys,1961,romance drama comedy
the-break-up,2006,comedy romance
brewsters-millions-1985,1985,comedy
brick,2005,mystery drama
bridget-joness-diary,2001,comedy romance drama
bridget-jones-the-edge-of-reason,2004,comedy romance
bringing-down-the-house,2003,comedy
the-broadway-melody,1929,drama romance music
brokeback-mountain,2005,romance drama
brother-bear,2003,animation adventure family
the-brothers-bloom,2008,adventure comedy drama romance
burn-after-reading,2008,comedy drama
butch-cassidy-and-the-sundance-kid,1969,western
the-butterfly-effect,2004,thriller science-fiction
the-cabin-in-the-woods,2011,comedy thriller horror
caddyshack,1980,comedy
cadillac-records,2008,history music drama
capote,2005,crime drama
casablanca,1942,romance drama
casino-royale,1967,action adventure comedy
casper,1995,family comedy fantasy
cast-away,2000,adventure drama
cat-on-a-hot-tin-roof,1958,romance drama
catch-22,1970,drama comedy war
catch-me-if-you-can-2002,2002,drama crime
center-stage,2000,music drama
chaplin,1992,drama
chicago,2002,comedy drama crime
a-christmas-story-1983,1983,comedy family
cinderella-man,2005,history romance drama
citizen-kane,1941,drama mystery
clerks,1994,comedy
click,2006,romance drama comedy fantasy
mr-deeds,2002,comedy romance
close-encounters-of-the-third-kind,1977,science-fiction drama
closer,2004,romance drama
cloud-atlas,2012,drama science-fiction
cloudy-with-a-chance-of-meatballs,2009,animation comedy family
cloudy-with-a-chance-of-meatballs-2,2013,family animation comedy
clue,1985,thriller comedy crime mystery
clueless,1995,comedy romance
cold-mountain,2003,history drama romance adventure
the-color-of-money,1986,drama
the-constant-gardener,2005,drama thriller mystery
contact,1997,mystery science-fiction drama
cool-hand-luke,1967,crime drama
coraline,2009,animation family
the-core,2003,thriller action adventure science-fiction
the-count-of-monte-cristo-2002,2002,adventure
coyote-ugly,2000,romance comedy music drama
crash-2004,2004,drama
crazy-rich-asians,2018,romance comedy drama
crazy-stupid-love,2011,comedy drama romance
cream-royal-albert-hall-london-may-2-3-5-6-2005,2005,
crouching-tiger-hidden-dragon,2000,adventure action drama romance
the-crying-game,1992,thriller crime romance drama
the-curious-case-of-benjamin-button,2008,fantasy drama romance mystery thriller
dances-with-wolves,1990,adventure western drama
dantes-peak,1997,adventure thriller drama action
the-darjeeling-limited,2007,comedy drama adventure
the-dark-crystal,1982,animation adventure fantasy family
batman-begins,2005,drama action crime
the-dark-knight,2008,crime drama thriller action
the-dark-knight-rises,2012,action crime drama thriller
the-back-up-plan,2010,comedy romance
the-bounty-hunter,2010,comedy drama action
how-do-you-know,2010,comedy drama romance
the-ugly-truth,2009,comedy romance
the-da-vinci-code,2006,mystery thriller
the-day-after-tomorrow,2004,thriller science-fiction adventure action
the-day-the-earth-stood-still,1951,science-fiction
dead-men-dont-wear-plaid,1982,comedy mystery
the-lonely-guy,1984,comedy romance
dead-poets-society,1989,drama
deadpool,2016,comedy action adventure
death-at-a-funeral,2007,drama comedy
the-deer-hunter,1978,drama war
the-departed,2006,thriller drama crime
the-devil-wears-prada,2006,comedy romance drama
dial-m-for-murder,1954,drama thriller mystery crime
dinosaur,2000,animation family
dirty-dancing,1987,drama romance music
district-9,2009,science-fiction
divine-secrets-of-the-ya-ya-sisterhood,2002,comedy romance drama
the-diving-bell-and-the-butterfly,2007,drama
django-unchained,2012,western drama
doctor-strange-2016,2016,fantasy adventure science-fiction action
dodgeball-a-true-underdog-story,2004,comedy
dog-day-afternoon,1975,drama crime thriller
the-apple-dumpling-gang,1975,western comedy family
the-apple-dumpling-gang-rides-again,1979,comedy family western
hot-lead-cold-feet,1978,family western action comedy
gus,1976,comedy family
donnie-darko,2001,mystery drama fantasy
dont-say-a-word,2001,thriller
double-jeopardy-1999,1999,thriller
dragon-ball-mystical-adventure,1988,action animation
dragon-ball-the-path-to-power,1996,comedy animation action
dragon-ball-sleeping-princess-in-devils-castle,1987,action animation
dreamgirls,2006,drama
driving-miss-daisy,1989,comedy drama
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,1964,drama comedy war
dumb-and-dumber,1994,comedy
dumb-and-dumberer-when-harry-met-lloyd,2003,comedy
edward-scissorhands,1990,drama fantasy romance
elf,2003,fantasy family comedy
enchanted,2007,comedy fantasy family romance
enough,2002,drama thriller
envy,2004,comedy
erin-brockovich,2000,drama
eternal-sunshine-of-the-spotless-mind,2004,romance drama science-fiction
europa-report,2013,thriller science-fiction
everafter,1998,comedy drama romance
everything-you-always-wanted-to-know-about-sex-but-were-afraid-to-ask,1972,comedy
ex-machina-2014,2014,science-fiction drama
family-guy-presents-blue-harvest,2007,animation comedy tv-movie
family-guy-presents-its-a-trap,2010,animation comedy fantasy science-fiction
family-guy-presents-something-something-something-dark-side,2010,animation fantasy comedy science-fiction
the-family-man,2000,comedy fantasy drama romance
the-family-stone,2005,comedy romance drama
fantastic-mr-fox,2009,adventure comedy animation family
fantastic-four-2005,2005,adventure action science-fiction fantasy
fantastic-four-rise-of-the-silver-surfer,2007,fantasy adventure thriller action
daredevil,2003,action crime thriller science-fiction fantasy
elektra,2005,action fantasy science-fiction
a-far-off-place,1993,drama adventure
fargo,1996,drama crime thriller
fear-and-loathing-in-las-vegas,1998,adventure drama comedy
ferngully-the-last-rainforest,1992,animation family fantasy adventure
a-few-good-men,1992,drama
fight-club,1999,drama
final-destination,2000,horror
final-destination-2,2003,horror mystery
final-destination-3,2006,horror mystery
finding-nemo,2003,animation family
finding-neverland,2004,drama
the-first-wives-club,1996,comedy
a-fistful-of-dollars,1964,western
the-five-year-engagement,2012,comedy romance
flcl,2000,animation comedy
flipper-1996,1996,adventure family
flowers-in-the-attic,1987,drama horror mystery thriller
fly-away-home,1996,action drama adventure family
footloose,1984,romance drama
for-a-few-dollars-more,1965,western
the-forest-for-the-trees,2003,drama comedy
the-forgotten-2004,2004,horror drama science-fiction mystery thriller
forrest-gump,1994,romance comedy drama
the-fountain,2006,adventure drama romance science-fiction
freaky-friday-2003,2003,fantasy comedy
freedom-writers,2007,drama crime
free-willy,1993,drama family adventure
free-willy-2-the-adventure-home,1995,adventure
free-willy-3-the-rescue,1997,drama family adventure
free-willy-escape-from-pirates-cove,2010,adventure drama family
friday-the-13th,1980,horror
from-dusk-till-dawn,1996,action crime horror thriller
maximum-force,1992,action
repo-jake,1990,adventure action
roadracers,1994,action tv-movie drama
futurama-benders-big-score,2007,science-fiction comedy animation
futurama-benders-game,2008,comedy science-fiction animation
futurama-into-the-wild-green-yonder,2009,animation comedy
futurama-the-beast-with-a-billion-backs,2008,animation comedy science-fiction fantasy
gangs-of-new-york-2002,2002,history drama crime
garden-state,2004,drama comedy romance
gattaca,1997,romance mystery thriller science-fiction
get-out-2017,2017,mystery thriller horror
gettysburg,1993,drama war history
ghostbusters,1984,comedy fantasy
ghost-rider,2007,horror action fantasy thriller
ghost-rider-spirit-of-vengeance,2011,action thriller fantasy
the-ghost-writer,2010,mystery thriller
giant,1956,romance drama action western
gigi,1958,music comedy romance
girl-interrupted,1999,drama
the-girl-who-kicked-the-hornets-nest,2009,action crime mystery thriller
the-girl-who-played-with-fire,2009,drama crime action mystery thriller
the-girl-with-the-dragon-tattoo,2009,mystery thriller crime drama
gladiator-2000,2000,drama action adventure
the-glass-house,2001,drama thriller
glengarry-glen-ross,1992,mystery drama crime
the-godfather,1972,crime drama
the-godfather-part-ii,1974,crime drama
the-godfather-part-iii,1990,drama crime thriller
gone-with-the-wind,1939,romance drama war
goodfellas,1990,drama crime
good-night-and-good-luck,2005,drama history
the-good-shepherd,2006,thriller drama history
good-will-hunting,1997,drama
a-goofy-movie,1995,family comedy adventure animation romance
the-goonies,1985,comedy adventure family
the-graduate,1967,comedy drama
the-grand-budapest-hotel,2014,drama comedy
grandmas-boy-2006,2006,comedy
the-grapes-of-wrath,1940,drama
gravity-2013,2013,science-fiction drama thriller
grease,1978,romance
the-great-dictator,1940,comedy
the-great-gatsby-2013,2013,drama romance
the-great-mouse-detective,1986,mystery family adventure animation
the-great-ziegfeld,1936,romance drama music
guardians-of-the-galaxy,2014,science-fiction action adventure
guilty-by-suspicion,1991,thriller drama
guys-and-dolls,1955,comedy romance
happy-gilmore,1996,comedy
billy-madison,1995,comedy
harry-potter-and-the-chamber-of-secrets,2002,fantasy adventure
harry-potter-and-the-deathly-hallows-part-1,2010,adventure fantasy
harry-potter-and-the-deathly-hallows-part-2,2011,adventure fantasy
harry-potter-and-the-goblet-of-fire,2005,family adventure fantasy
harry-potter-and-the-half-blood-prince,2009,adventure fantasy
harry-potter-and-the-order-of-the-phoenix,2007,fantasy mystery adventure
harry-potter-and-the-philosophers-stone,2001,fantasy family adventure
harry-potter-and-the-prisoner-of-azkaban,2004,fantasy adventure
heathers,1988,thriller comedy drama
her,2013,science-fiction romance drama
hes-just-not-that-into-you,2009,comedy romance drama
hidden-figures,2016,history drama
hi-mom,1970,comedy drama
hitchcock,2012,drama
the-hitchhikers-guide-to-the-galaxy-2005,2005,science-fiction adventure family comedy
the-hobbit-an-unexpected-journey,2012,adventure fantasy action
the-hobbit-the-battle-of-the-five-armies,2014,fantasy adventure action
the-hobbit-the-desolation-of-smaug,2013,action adventure fantasy
hocus-pocus,1993,fantasy family horror comedy
the-holiday,2006,comedy romance
christmas-in-connecticut,1945,comedy romance
a-christmas-carol,1938,fantasy drama family
boys-town,1938,drama
the-singing-nun,1966,comedy drama music family
home-alone,1990,comedy family
the-hot-chick,2002,fantasy comedy
how-to-deal,2003,comedy romance drama
how-to-lose-a-guy-in-10-days,2003,romance comedy
the-hustler,1961,drama
i-am-legend,2007,action horror drama thriller science-fiction
i-huckabees,2004,comedy romance
i-robot,2004,action science-fiction
ice-age,2002,animation family comedy adventure
identity,2003,thriller mystery
the-imaginarium-of-doctor-parnassus,2009,mystery adventure fantasy
im-not-there,2007,drama music
the-imitation-game,2014,war thriller history drama
im-still-here,2010,comedy music drama
inception,2010,science-fiction adventure action
raiders-of-the-lost-ark,1981,adventure action
inglourious-basterds,2009,action drama thriller war
inherent-vice,2014,drama mystery romance comedy crime
inherit-the-wind,1960,drama history
in-her-shoes,2005,comedy drama romance
inside-out-2015,2015,comedy animation family drama
interiors,1978,drama
interstellar,2014,drama adventure science-fiction
the-invention-of-lying,2009,fantasy comedy romance
the-invisible-man,1933,science-fiction horror
the-iron-giant,1999,family comedy animation science-fiction adventure
iron-man-2008,2008,science-fiction action adventure
iron-man-2,2010,science-fiction adventure action
iron-man-3,2013,action science-fiction adventure
the-island-2005,2005,science-fiction action thriller adventure
the-italian-job-2003,2003,action crime
its-a-mad-mad-mad-mad-world,1963,comedy action adventure crime
jack-1996,1996,comedy science-fiction drama
jackie-brown,1997,thriller crime drama
jaws,1975,thriller adventure horror
jeff-who-lives-at-home,2011,drama comedy
the-jerk,1979,comedy
jumanji,1995,family adventure fantasy
juno,2007,comedy drama romance
jurassic-park,1993,science-fiction adventure
the-lost-world-jurassic-park,1997,adventure action science-fiction
jurassic-park-iii,2001,action adventure thriller science-fiction
jurassic-world,2015,thriller science-fiction adventure action
kate-leopold,2001,science-fiction comedy fantasy romance
keanu,2016,action comedy
kill-bill-vol-1,2003,action crime
